tx_id,tx_size,tx_fee
tx0,99127,755
tx1,42495,303
tx2,1334,338
tx3,16499,428
tx4,84378,150
tx5,29007,478
tx6,15367,675
tx7,21913,405
tx8,22193,452
tx9,2152,621
tx10,97173,990
tx11,95511,889
tx12,54127,461
tx13,48948,289
tx14,73006,562
tx15,94367,375
tx16,51101,372
tx17,71446,491
tx18,69149,589
tx19,47167,356
tx20,1102,872
tx21,42616,626
tx22,88931,806
tx23,2028,854
tx24,75959,797
tx25,28322,465
tx26,94022,501
tx27,35058,466
tx28,99770,965
tx29,72776,257
tx30,69572,311
tx31,63643,260
tx32,10504,777
tx33,42036,432
tx34,67441,125
tx35,26227,322
tx36,21916,961
tx37,70504,762
tx38,76380,866
tx39,75742,191
tx40,95449,295
tx41,72586,879
tx42,47935,190
tx43,1859,684
tx44,86764,512
tx45,21317,629
tx46,82649,943
tx47,30297,401
tx48,30368,130
tx49,1558,208
tx50,58447,458
tx51,11665,603
tx52,20295,216
tx53,67308,558
tx54,22769,516
tx55,39606,432
tx56,32010,496
tx57,17480,998
tx58,2891,721
tx59,75608,536
tx60,80047,535
tx61,29217,602
tx62,78397,871
tx63,58313,183
tx64,39989,151
tx65,80042,422
tx66,87700,246
tx67,27240,439
tx68,5707,779
tx69,13050,309
tx70,76039,257
tx71,28340,952
tx72,47975,294
tx73,2494,188
tx74,84366,713
tx75,97354,109
tx76,65205,884
tx77,66341,552
tx78,53081,199
tx79,79996,334
tx80,4086,764
tx81,97181,411
tx82,82162,588
tx83,50064,768
tx84,58489,959
tx85,94905,613
tx86,42521,621
tx87,88594,252
tx88,51089,328
tx89,19424,419
tx90,63262,617
tx91,42092,244
tx92,60013,742
tx93,64624,210
tx94,71987,549
tx95,97153,354
tx96,35107,420
tx97,3887,597
tx98,14416,574
tx99,47156,860
tx100,91179,243
tx101,35540,531
tx102,90669,439
tx103,22510,748
tx104,67099,167
tx105,48550,262
tx106,45626,103
tx107,15152,867
tx108,53175,360
tx109,58693,906
tx110,4763,913
tx111,65819,929
tx112,65327,324
