tx_id,tx_size,tx_fee
tx0,87300,374
tx1,76466,755
tx2,14610,317
tx3,64794,812
tx4,20786,826
tx5,98480,146
tx6,75525,683
tx7,66763,802
tx8,35388,511
tx9,53342,553
tx10,65302,859
tx11,10235,988
tx12,89512,874
tx13,64518,550
tx14,72726,386
tx15,89726,933
tx16,53118,283
tx17,43826,430
tx18,76214,694
tx19,11089,550
tx20,32365,525
tx21,86214,159
tx22,50772,423
tx23,56264,779
tx24,17595,206
tx25,84565,273
tx26,37362,988
tx27,19630,248
tx28,5280,290
tx29,3144,863
tx30,12195,129
tx31,94530,543
tx32,28289,279
tx33,71356,728
tx34,35514,768
tx35,44090,363
tx36,80623,468
tx37,7305,466
tx38,8030,477
tx39,22032,819
tx40,40675,434
tx41,65531,832
tx42,47427,866
tx43,36963,266
tx44,30018,332
tx45,13147,811
tx46,48612,951
tx47,44923,269
tx48,48529,367
tx49,6546,614
tx50,35362,737
tx51,50389,685
tx52,83433,680
tx53,63247,297
tx54,32863,226
tx55,74224,531
tx56,48726,523
tx57,21255,104
tx58,88230,736
tx59,41934,491
tx60,66711,237
tx61,43717,568
tx62,68021,571
tx63,22506,861
tx64,56320,491
tx65,90480,692
tx66,53701,345
tx67,30669,662
tx68,75125,690
tx69,9414,216
tx70,49733,104
tx71,80002,131
tx72,64324,389
tx73,28834,805
tx74,99497,740
tx75,45877,509
tx76,57366,993
tx77,10894,441
tx78,82694,173
tx79,95013,521
tx80,43324,352
tx81,28324,468
tx82,19620,234
tx83,56448,376
tx84,4145,190
tx85,44590,310
tx86,80642,699
tx87,75178,521
tx88,61839,966
tx89,88326,442
tx90,3565,868
tx91,43481,438
tx92,15420,127
tx93,56599,623
tx94,60899,861
tx95,58675,423
tx96,79613,699
tx97,82835,202
tx98,14536,906
tx99,58718,611
tx100,52763,781
tx101,98888,206
tx102,54628,711
tx103,48266,149
tx104,81627,112
tx105,82920,730
tx106,1282,197
tx107,93238,783
tx108,63586,262
tx109,79804,592
tx110,6901,145
tx111,1755,464
tx112,47622,679
tx113,84299,565
tx114,53846,700
tx115,50286,891
tx116,51114,710
tx117,53233,418
tx118,34095,791
tx119,17729,808
tx120,62276,514
tx121,69638,232
tx122,61254,578
tx123,96464,468
tx124,18061,514
tx125,76334,379
tx126,28410,860
tx127,52553,717
tx128,77766,429
tx129,75916,799
tx130,75960,816
tx131,59562,908
tx132,48656,123
tx133,92942,784
tx134,7376,666
tx135,1088,205
tx136,95084,103
tx137,17587,161
tx138,31593,166
tx139,11407,471
tx140,96173,690
tx141,41150,871
tx142,26489,322
tx143,35328,617
tx144,41533,343
tx145,55701,591
tx146,72245,996
tx147,28751,521
tx148,36703,967
tx149,34448,882
tx150,27080,243
tx151,74605,530
tx152,21429,926
tx153,69978,936
tx154,40333,599
tx155,9113,514
tx156,36766,266
tx157,84130,212
tx158,95877,575
tx159,75039,501
tx160,44036,927
tx161,47870,947
tx162,90846,250
tx163,74369,167
tx164,5786,163
tx165,61561,789
tx166,75634,908
tx167,39020,486
tx168,68658,168
tx169,28332,517
tx170,71176,424
tx171,67486,495
tx172,95523,302
tx173,40483,661
tx174,85100,569
tx175,84255,682
tx176,16588,131
tx177,40085,723
tx178,72220,732
tx179,61973,672
tx180,36141,223
tx181,77778,798
tx182,89741,269
tx183,84774,528
tx184,11079,656
tx185,22132,158
tx186,84750,497
tx187,47539,273
tx188,7121,993
tx189,95120,463
tx190,41649,707
tx191,82532,972
tx192,69407,649
tx193,5271,298
tx194,82395,402
tx195,30615,354
tx196,11981,923
tx197,26199,838
tx198,82038,107
tx199,1969,473
tx200,72497,427
tx201,73188,928
tx202,43668,644
tx203,2352,849
tx204,90396,954
tx205,8093,129
tx206,74737,384
tx207,71130,267
tx208,78577,168
tx209,17647,564
tx210,17068,389
tx211,70895,156
tx212,66511,214
tx213,92608,472
tx214,95301,945
tx215,40871,434
tx216,81858,514
tx217,14144,976
tx218,70912,958
tx219,55049,814
tx220,52009,232
tx221,21160,243
tx222,84293,702
tx223,3728,146
tx224,93974,110
tx225,69888,145
tx226,86972,588
tx227,76994,128
tx228,95449,804
tx229,58709,906
tx230,61838,223
tx231,42647,132
tx232,62132,444
tx233,51832,372
tx234,41603,233
tx235,71536,137
tx236,67231,777
tx237,85890,235
tx238,12906,520
tx239,21497,451
tx240,46634,910
tx241,7046,542
tx242,73929,271
tx243,88359,556
tx244,21669,193
tx245,79277,922
tx246,23891,991
tx247,72546,551
tx248,23339,354
tx249,5031,862
tx250,6509,293
tx251,37212,325
tx252,58891,282
tx253,49208,312
tx254,79929,906
tx255,13135,392
tx256,75502,500
tx257,69350,824
tx258,30741,162
tx259,61018,227
tx260,15727,801
tx261,15407,646
tx262,26816,536
tx263,45424,347
tx264,16234,550
tx265,97673,700
tx266,30430,129
tx267,37619,804
tx268,48580,112
tx269,61935,347
tx270,69769,291
tx271,57157,320
tx272,35785,962
tx273,74149,505
tx274,65835,303
tx275,25800,705
tx276,9529,443
tx277,84231,612
tx278,23550,214
tx279,31934,648
tx280,78082,892
tx281,41363,781
tx282,44453,122
tx283,76902,856
tx284,60325,473
tx285,4234,349
tx286,98577,564
tx287,61743,260
tx288,48017,287
tx289,49419,278
tx290,77121,190
tx291,38154,524
tx292,95017,818
tx293,73891,267
tx294,82562,968
tx295,38836,924
tx296,78479,602
tx297,39535,668
tx298,66096,801
tx299,84833,544
tx300,50696,339
tx301,36296,368
tx302,90058,351
tx303,78794,192
tx304,58888,672
tx305,15146,160
tx306,42010,176
tx307,63772,294
tx308,66960,195
tx309,96250,345
tx310,76441,898
tx311,36403,787
tx312,97712,700
tx313,88671,439
tx314,17070,124
tx315,43982,173
tx316,1148,571
tx317,53657,603
tx318,74109,373
tx319,95586,322
tx320,10877,498
tx321,81325,559
tx322,31272,979
tx323,68959,428
tx324,82582,878
tx325,3229,366
tx326,88677,160
tx327,42196,764
tx328,82539,385
tx329,38099,399
tx330,73989,234
tx331,70519,652
tx332,36222,819
tx333,62551,532
tx334,97690,725
tx335,26032,586
tx336,90656,858
tx337,72219,508
tx338,6267,146
tx339,25070,647
tx340,42109,512
